bucket,item_type,title_or_system,claim_or_focus,benchmark_or_dataset,metrics,source_url,notes
core-framing,paper,MA-RAG,"Positive evidence that coordinated multi-agent retrieval can improve hard retrieval-sensitive and multi-hop tasks",N/A,"task-specific QA/retrieval metrics",https://arxiv.org/abs/2505.20096v2,"Use as evidence that orchestration can help when retrieval itself needs iterative refinement; do not treat as education evidence"
core-framing,paper,"Multi-Agent Coordination Strategies vs. RAG","Counterevidence: under constrained factual settings, multi-agent coordination can underperform strong classical RAG baselines",N/A,"comparative performance under shared budgets/settings",https://www.mdpi.com/2079-9292/14/24/4883,"Important reviewer-balancing citation to avoid one-sided claims"
education-systems,system,AgentTutor,"Interactive multi-turn tutoring system illustrating coordination-heavy educational assistance",N/A,"system paper, not benchmark",https://arxiv.org/abs/2601.04219,"Useful as a systems example rather than benchmark evidence"
education-systems,system,IntelliCode,"Education-oriented multi-agent or agentic system lead for expanded related-work coverage",N/A,"TBD from source",https://arxiv.org/abs/2512.18669,"Still a seed source; not yet normalized into BibTeX"
education-systems,system,GraphMASAL,"Education-oriented multi-agent system lead for expanded systems survey",N/A,"TBD from source",https://arxiv.org/abs/2511.11035,"Still a seed source; not yet normalized into BibTeX"
education-systems,system,GenMentor,"Education-oriented generative mentoring system lead for expanded systems survey",N/A,"TBD from source",https://arxiv.org/abs/2501.15749,"Still a seed source; not yet normalized into BibTeX"
education-benchmark,benchmark,EduBench,"Education-specific benchmark spanning diverse educational scenarios and pedagogical dimensions",EduBench,"12 educational evaluation dimensions",https://arxiv.org/pdf/2505.16160v4,"Supports education-facing claims better than classroom-effect claims"
education-benchmark,benchmark,"TutorEval / LM-Science-Tutor","Open-book versus closed-book tutoring benchmark useful for retrieval-sensitive tutoring comparisons","LM-Science-Tutor / TutorEval","LM-graded key-point coverage and condition comparisons",https://github.com/princeton-nlp/LM-Science-Tutor/blob/main/README.md,"Science-specific; useful for comparing retrieval-enabled tutoring against more agentic explanation strategies"
education-benchmark,benchmark,ScienceQA,"Multimodal science QA benchmark with explanations and lectures",ScienceQA,"accuracy and explanation-oriented evaluation",https://scienceqa.github.io/,"Good for grounding/explanation, weaker for adaptive tutoring dialogue"
education-benchmark,benchmark,MathTutorBench,"Benchmark for open-ended pedagogical capabilities of LLM tutors",MathTutorBench,"pedagogy-oriented and open-ended tutoring evaluation",https://aclanthology.org/2025.emnlp-main.11/,"Strong candidate for coordination-heavy tutoring evaluation"
education-benchmark,benchmark,TutorBench,"Benchmark to assess tutoring capabilities of LLMs",TutorBench,"tutoring- and rubric-oriented evaluation",https://arxiv.org/abs/2510.02663,"Use alongside MathTutorBench rather than as a sole tutoring benchmark"
transfer-benchmark,benchmark,HotpotQA,"Transfer benchmark for multi-hop retrieval and evidence justification",HotpotQA,"EM/F1 and supporting-fact metrics",https://hotpotqa.github.io/,"Supports mechanism claims, not pedagogical claims"
transfer-benchmark,benchmark,AgentBench,"Transfer benchmark for tool use, workflow completion, and coordination",AgentBench,"task success across agent environments",https://github.com/THUDM/AgentBench/blob/d1e4a10db08c87075c78972e48ecc182be03e2d5/README.md,"Useful for orchestration claims only"
transfer-benchmark,benchmark,SCROLLS,"Transfer benchmark for long-context reasoning and summarization",SCROLLS,"task-specific accuracy/ROUGE-style metrics",https://www.scrolls-benchmark.com/,"Good for long-context stress, not pedagogy-specific"
transfer-benchmark,benchmark,"LongBench v2","Transfer benchmark for realistic long-context multitask reasoning","LongBench v2","task-specific long-context metrics",https://longbench2.github.io/,"Useful for curriculum-scale material handling"
transfer-benchmark,benchmark,FEVER,"Transfer benchmark for fact verification against textual evidence",FEVER,"verification accuracy / FEVER score",https://aclanthology.org/N18-1074/,"Useful for evidence-verification claims before making educational claims"
transfer-benchmark,benchmark,BEIR,"Transfer benchmark for retrieval robustness across heterogeneous datasets",BEIR,"nDCG/MRR/Recall",https://www.beir.ai/,"Use to isolate retrieval quality from orchestration and pedagogy"
transfer-benchmark,benchmark,"Wizard of Wikipedia","Transfer benchmark for grounded dialogue over external knowledge","Wizard of Wikipedia","grounded dialogue metrics",https://parl.ai/projects/wizard_of_wikipedia/,"Useful bridge between retrieval and dialogue without being education-specific"
evaluation-infra,repo,MASEval,"Reusable infrastructure for evaluating multi-agent systems at the system level",N/A,"evaluation harness / adapter-based system eval",https://github.com/parameterlab/MASEval,"Supports feasibility of future experiments"
evaluation-infra,repo,"HAL Harness","Reusable harness for benchmark orchestration across agentic tasks",N/A,"benchmark orchestration infrastructure",https://github.com/benediktstroebl/hal-harness,"Useful for future empirical protocol implementation"
evaluation-infra,repo,"RAG Eval Harness","Lightweight retrieval-oriented evaluation harness",N/A,"retrieval metrics and RAG evaluation",https://github.com/savinoo/rag-eval-harness,"Useful if experiments compare classical and agentic RAG settings"
evaluation-infra,repo,Autolab,"Educational grading infrastructure relevant to practical evaluation workflows",N/A,"autograding / course infrastructure",https://github.com/autolab/autolab,"Practical infra reference, not direct evidence for architectural superiority"
